DATE,RH2M,WS10M,T2MDEW,T2MWET,T2M
2020/02/07,60.75,2.09,8.91,12.98,17.05
2020/02/08,64.75,1.96,10.49,14.15,17.8
2020/02/09,65.94,3.02,11.26,14.8,18.33
2020/02/10,63.81,2.88,8.49,12.4,16.3
2020/02/11,64.19,2.96,9.05,12.83,16.59
2020/02/12,61.94,3.31,8.53,12.57,16.61
2020/02/13,59.62,2.66,8.47,12.85,17.23
2020/02/14,61.69,2.02,10.87,14.83,18.8
2020/02/15,76.06,2.59,14.87,17.2,19.54
2020/02/16,68.06,1.66,13.92,17.22,20.51
2020/02/17,61.12,1.92,12.15,16.3,20.44
2020/02/18,61.38,1.97,12.41,16.49,20.58
2020/02/19,60.0,1.38,12.9,17.17,21.44
2020/02/20,59.56,1.78,12.09,16.46,20.83
2020/02/21,60.75,1.94,12.77,17.22,21.66
2020/02/22,57.31,1.62,13.38,18.12,22.86
2020/02/23,54.12,1.38,13.39,18.72,24.05
2020/02/24,58.94,1.16,14.63,19.12,23.61
2020/02/25,67.25,2.09,14.98,18.33,21.69
2020/02/26,68.19,1.91,14.81,18.05,21.29
2020/02/27,69.62,1.61,14.37,17.6,20.84
2020/02/28,59.44,1.85,12.39,16.94,21.49
2020/02/29,57.12,1.58,13.0,17.86,22.73
2020/03/01,59.06,2.02,13.89,18.45,23.01
2020/03/02,58.38,2.14,13.58,18.36,23.15
2020/03/03,59.06,1.6,14.93,19.39,23.86
2020/03/04,66.69,2.12,16.37,19.85,23.33
2020/03/05,64.06,1.72,16.54,20.36,24.19
2020/03/06,65.75,1.3,17.2,20.71,24.22
2020/03/07,75.56,2.29,17.96,20.44,22.92
2020/03/08,74.0,1.8,17.81,20.51,23.19
2020/03/09,58.31,2.33,13.32,18.17,23.03
2020/03/10,48.62,1.98,11.26,17.2,23.15
2020/03/11,51.88,2.23,12.53,17.98,23.44
2020/03/12,57.38,2.13,15.43,20.29,25.15
2020/03/13,57.19,2.05,16.1,21.19,26.26
2020/03/14,59.75,2.74,16.37,20.98,25.6
2020/03/15,60.5,3.98,14.88,19.76,24.63
2020/03/16,56.94,3.48,14.89,19.88,24.87
2020/03/17,52.19,2.93,13.42,18.97,24.51
2020/03/18,49.5,2.67,12.92,18.84,24.77
2020/03/19,42.62,2.1,11.28,18.46,25.65
2020/03/20,47.19,1.89,12.58,18.94,25.3
2020/03/21,45.5,2.02,11.9,18.79,25.66
2020/03/22,58.56,1.7,15.31,19.83,24.33
2020/03/23,55.88,1.98,14.49,19.55,24.59
2020/03/24,49.94,1.29,13.87,19.83,25.78
2020/03/25,50.5,2.0,14.33,20.29,26.25
2020/03/26,45.94,1.52,14.97,21.54,28.11
2020/03/27,46.44,2.31,15.23,21.92,28.61
2020/03/28,47.81,3.14,16.45,22.98,29.49
2020/03/29,46.56,3.5,14.34,21.71,29.08
2020/03/30,35.94,2.58,10.62,19.55,28.48
2020/03/31,33.12,2.05,9.44,18.8,28.14
2020/04/01,33.75,1.98,11.03,20.2,29.37
2020/04/02,55.06,3.65,18.18,23.92,29.65
2020/04/03,59.69,2.95,19.8,24.7,29.62
2020/04/04,59.44,2.05,18.13,23.38,28.63
2020/04/05,59.0,2.41,18.23,23.44,28.65
2020/04/06,54.88,2.86,15.95,22.14,28.33
2020/04/07,53.75,4.09,15.97,22.58,29.19
2020/04/08,57.94,3.64,19.37,24.87,30.37
2020/04/09,58.25,3.23,19.24,24.44,29.63
2020/04/10,53.19,2.74,17.68,23.9,30.12
2020/04/11,58.62,2.41,19.48,24.42,29.36
2020/04/12,55.94,1.86,17.35,22.84,28.34
2020/04/13,53.56,1.77,17.76,23.5,29.24
2020/04/14,54.06,1.88,19.15,24.93,30.72
2020/04/15,68.38,1.8,22.05,25.44,28.83
2020/04/16,66.81,1.49,20.75,24.35,27.95
2020/04/17,75.31,3.24,22.76,25.35,27.94
2020/04/18,79.38,3.75,23.52,25.62,27.7
2020/04/19,73.19,3.67,22.98,25.95,28.93
2020/04/20,77.81,3.05,23.35,25.65,27.96
2020/04/21,85.75,2.32,22.87,24.24,25.61
2020/04/22,73.0,1.86,19.8,22.61,25.4
2020/04/23,75.38,2.11,21.12,23.62,26.11
2020/04/24,81.88,2.55,21.62,23.34,25.08
2020/04/25,79.56,2.09,21.4,23.46,25.51
2020/04/26,81.88,2.45,22.03,23.78,25.53
2020/04/27,80.0,1.82,21.76,23.73,25.71
2020/04/28,84.0,2.27,21.96,23.45,24.94
2020/04/29,83.88,2.09,22.08,23.62,25.15
2020/04/30,80.94,1.9,22.76,24.66,26.55
2020/05/01,79.56,1.81,22.74,24.74,26.73
2020/05/02,81.56,1.85,23.08,24.88,26.67
2020/05/03,84.88,2.15,23.4,24.83,26.28
2020/05/04,80.38,1.7,23.74,25.68,27.62
2020/05/05,78.88,1.89,24.4,26.51,28.61
2020/05/06,80.94,1.38,23.79,25.64,27.49
2020/05/07,75.31,1.2,22.45,24.94,27.43
2020/05/08,74.38,1.37,22.34,24.88,27.41
2020/05/09,77.38,1.71,23.54,25.8,28.06
2020/05/10,73.88,1.19,23.81,26.47,29.12
2020/05/11,74.75,1.08,24.05,26.58,29.12
2020/05/12,77.06,2.04,24.18,26.5,28.82
2020/05/13,83.31,3.11,24.83,26.48,28.12
2020/05/14,83.19,2.51,25.18,26.81,28.45
2020/05/15,83.12,2.16,25.33,26.98,28.62
2020/05/16,84.88,3.09,25.88,27.37,28.84
2020/05/17,82.44,2.35,25.82,27.55,29.29
2020/05/18,81.81,1.9,26.01,27.79,29.57
2020/05/19,80.19,1.84,24.48,26.5,28.52
2020/05/20,84.62,6.27,23.82,25.27,26.72
2020/05/21,89.69,9.05,25.2,26.14,27.08
2020/05/22,84.69,3.42,24.9,26.37,27.83
2020/05/23,85.81,3.76,26.3,27.69,29.08
2020/05/24,89.0,5.23,26.97,28.0,29.04
2020/05/25,89.5,6.19,26.84,27.82,28.8
2020/05/26,89.0,6.43,26.3,27.33,28.35
2020/05/27,90.69,4.71,26.16,27.02,27.87
2020/05/28,87.25,1.98,25.17,26.37,27.56
2020/05/29,85.81,1.98,25.13,26.48,27.83
2020/05/30,88.62,2.8,25.52,26.58,27.64
2020/05/31,86.06,1.5,25.22,26.54,27.87
2020/06/01,89.88,3.35,26.1,27.02,27.94
2020/06/02,92.12,3.72,26.51,27.21,27.92
2020/06/03,91.38,3.9,25.95,26.73,27.51
2020/06/04,91.25,3.39,26.15,26.94,27.74
2020/06/05,91.31,2.95,26.3,27.09,27.88
2020/06/06,93.69,3.84,26.63,27.19,27.73
2020/06/07,86.88,1.91,26.23,27.5,28.77
2020/06/08,89.38,2.23,26.4,27.37,28.33
2020/06/09,84.31,1.3,25.94,27.43,28.91
2020/06/10,89.62,1.88,26.5,27.44,28.38
2020/06/11,94.81,3.01,26.79,27.24,27.69
2020/06/12,91.69,3.99,26.8,27.55,28.3
2020/06/13,95.56,3.67,27.24,27.62,28.0
2020/06/14,91.94,2.98,27.12,27.85,28.58
2020/06/15,90.5,2.94,27.32,28.21,29.09
2020/06/16,90.62,3.11,26.65,27.51,28.37
2020/06/17,93.44,3.65,26.97,27.55,28.13
2020/06/18,92.56,5.13,26.66,27.33,27.98
2020/06/19,89.81,3.95,26.85,27.8,28.74
2020/06/20,90.88,3.27,26.87,27.69,28.53
2020/06/21,91.19,4.12,26.66,27.47,28.26
2020/06/22,89.62,3.95,26.37,27.33,28.29
2020/06/23,89.44,3.53,26.99,27.98,28.98
2020/06/24,89.69,3.23,27.05,28.0,28.96
2020/06/25,92.06,4.19,27.31,28.02,28.73
2020/06/26,94.5,4.8,27.2,27.68,28.15
2020/06/27,90.75,4.76,26.77,27.62,28.46
2020/06/28,92.5,4.26,26.48,27.15,27.82
2020/06/29,87.31,2.56,25.85,27.05,28.25
2020/06/30,88.38,3.04,26.62,27.71,28.8
2020/07/01,90.62,3.74,26.76,27.61,28.47
2020/07/02,91.81,3.19,27.12,27.85,28.59
2020/07/03,87.31,2.13,26.88,28.07,29.26
2020/07/04,89.12,2.74,26.75,27.76,28.79
2020/07/05,90.88,4.3,26.92,27.75,28.58
2020/07/06,91.88,4.2,26.57,27.29,28.01
2020/07/07,92.06,4.04,27.1,27.83,28.55
2020/07/08,90.12,3.21,27.01,27.92,28.83
2020/07/09,92.38,4.8,27.58,28.26,28.94
2020/07/10,92.19,5.67,27.51,28.2,28.9
2020/07/11,93.62,4.79,26.99,27.55,28.11
2020/07/12,91.12,4.05,26.87,27.67,28.48
2020/07/13,89.69,3.02,27.19,28.15,29.11
2020/07/14,91.62,3.73,26.48,27.23,27.98
2020/07/15,89.5,3.66,26.86,27.83,28.82
2020/07/16,88.25,2.98,26.65,27.76,28.87
2020/07/17,88.94,2.98,26.72,27.76,28.8
2020/07/18,90.88,3.8,27.02,27.86,28.69
2020/07/19,91.12,4.62,27.15,27.96,28.77
2020/07/20,94.56,4.95,26.83,27.3,27.76
2020/07/21,94.0,4.32,26.79,27.31,27.83
2020/07/22,90.69,2.93,26.17,27.01,27.86
2020/07/23,91.31,3.23,26.19,26.98,27.77
2020/07/24,91.06,3.2,26.54,27.36,28.17
2020/07/25,88.44,2.79,26.51,27.59,28.68
2020/07/26,87.12,2.23,26.89,28.12,29.35
2020/07/27,92.81,2.88,27.19,27.82,28.46
2020/07/28,90.19,2.38,26.54,27.44,28.35
2020/07/29,90.56,3.85,26.8,27.67,28.53
2020/07/30,91.31,3.0,26.65,27.43,28.21
2020/07/31,88.44,2.73,26.76,27.84,28.93
2020/08/01,84.44,1.34,26.87,28.4,29.94
2020/08/02,88.44,1.54,27.16,28.25,29.34
2020/08/03,82.56,1.12,27.19,28.89,30.59
2020/08/04,89.06,2.78,27.41,28.43,29.44
2020/08/05,88.88,4.06,26.87,27.9,28.94
2020/08/06,91.19,4.3,26.56,27.36,28.15
2020/08/07,90.12,3.95,26.98,27.9,28.82
2020/08/08,89.81,3.5,27.13,28.08,29.02
2020/08/09,91.81,3.07,26.86,27.6,28.34
2020/08/10,89.0,2.62,27.08,28.13,29.18
2020/08/11,90.88,3.12,27.2,28.04,28.87
2020/08/12,88.69,3.38,27.3,28.38,29.45
2020/08/13,87.81,2.88,26.99,28.15,29.3
2020/08/14,84.88,2.31,26.87,28.33,29.79
2020/08/15,90.69,4.73,26.23,27.08,27.92
2020/08/16,92.5,5.56,26.3,26.95,27.62
2020/08/17,91.25,4.88,26.44,27.23,28.03
2020/08/18,90.12,3.93,26.55,27.47,28.38
2020/08/19,90.94,4.89,26.3,27.12,27.95
2020/08/20,93.38,5.59,25.42,25.99,26.57
2020/08/21,93.75,3.93,25.58,26.12,26.65
2020/08/22,92.0,3.14,25.44,26.15,26.87
2020/08/23,89.38,2.34,25.88,26.88,27.88
2020/08/24,85.06,1.97,26.11,27.54,28.97
2020/08/25,89.44,2.03,26.33,27.3,28.27
2020/08/26,89.0,4.73,25.98,27.01,28.04
2020/08/27,92.06,3.58,25.94,26.65,27.36
2020/08/28,88.44,3.03,25.97,27.05,28.15
2020/08/29,88.56,3.08,26.4,27.48,28.56
2020/08/30,89.25,3.01,26.81,27.82,28.83
2020/08/31,90.75,2.03,26.9,27.73,28.56
2020/09/01,91.06,2.43,26.23,27.03,27.83
2020/09/02,88.31,2.34,25.91,27.01,28.12
2020/09/03,85.31,1.95,25.9,27.33,28.76
2020/09/04,84.81,1.69,26.38,27.85,29.33
2020/09/05,86.94,2.29,26.7,27.94,29.18
2020/09/06,90.38,3.31,26.73,27.62,28.5
2020/09/07,90.5,3.26,26.3,27.18,28.05
2020/09/08,89.44,2.8,26.31,27.28,28.26
2020/09/09,88.31,2.05,26.41,27.52,28.62
2020/09/10,90.62,2.89,26.58,27.44,28.3
2020/09/11,90.56,2.66,26.38,27.25,28.12
2020/09/12,90.94,2.16,26.46,27.28,28.11
2020/09/13,90.12,2.73,26.56,27.48,28.4
2020/09/14,90.44,2.59,26.38,27.26,28.15
2020/09/15,90.38,2.07,26.43,27.32,28.2
2020/09/16,92.5,3.28,26.53,27.2,27.87
2020/09/17,91.75,2.59,26.6,27.34,28.08
2020/09/18,84.75,1.23,26.18,27.67,29.16
2020/09/19,83.81,1.62,26.87,28.45,30.05
2020/09/20,84.19,2.55,27.21,28.75,30.29
2020/09/21,91.0,4.2,26.78,27.59,28.4
2020/09/22,94.31,3.91,26.84,27.33,27.83
2020/09/23,95.31,3.75,26.77,27.17,27.58
2020/09/24,93.88,4.08,26.51,27.05,27.58
2020/09/25,94.62,3.89,26.79,27.26,27.73
2020/09/26,94.19,4.2,26.51,27.01,27.51
2020/09/27,91.56,3.11,25.95,26.72,27.48
2020/09/28,85.44,1.67,25.65,27.04,28.41
2020/09/29,82.75,0.84,25.58,27.23,28.89
2020/09/30,85.31,1.23,25.86,27.24,28.63
2020/10/01,87.56,1.55,26.03,27.19,28.37
2020/10/02,88.94,1.42,26.06,27.09,28.12
2020/10/03,88.44,1.53,26.23,27.3,28.37
2020/10/04,89.44,1.65,26.16,27.12,28.08
2020/10/05,90.56,1.71,25.92,26.76,27.61
2020/10/06,91.75,2.17,25.18,25.9,26.64
2020/10/07,88.69,1.86,25.01,26.06,27.11
2020/10/08,84.44,1.34,25.4,26.9,28.39
2020/10/09,85.62,1.53,26.1,27.49,28.87
2020/10/10,86.94,1.62,26.36,27.6,28.84
2020/10/11,85.31,1.39,26.06,27.48,28.9
2020/10/12,84.31,1.38,25.69,27.21,28.74
2020/10/13,83.75,1.12,25.83,27.39,28.95
2020/10/14,83.88,0.84,25.86,27.4,28.95
2020/10/15,84.5,1.17,25.94,27.44,28.95
2020/10/16,81.5,1.09,25.62,27.42,29.23
2020/10/17,82.44,0.95,25.56,27.3,29.02
2020/10/18,86.69,1.48,25.65,26.91,28.17
2020/10/19,81.31,0.95,24.71,26.55,28.4
2020/10/20,84.69,1.55,24.78,26.26,27.74
2020/10/21,92.75,1.76,25.23,25.88,26.53
2020/10/22,93.38,2.93,24.27,24.84,25.41
2020/10/23,95.44,4.84,24.67,25.05,25.43
2020/10/24,92.12,2.02,25.29,26.01,26.72
2020/10/25,89.75,2.3,23.78,24.71,25.64
2020/10/26,84.44,1.31,23.4,24.88,26.37
2020/10/27,86.19,2.02,23.06,24.36,25.65
2020/10/28,84.06,1.66,22.97,24.5,26.03
2020/10/29,84.44,1.59,23.9,25.37,26.83
2020/10/30,84.0,1.57,24.82,26.35,27.87
2020/10/31,93.44,2.23,25.15,25.73,26.29
2020/11/01,86.62,1.67,23.07,24.3,25.53
2020/11/02,82.81,0.69,23.34,24.96,26.58
2020/11/03,83.75,0.82,24.03,25.6,27.17
2020/11/04,83.56,2.08,20.62,22.16,23.7
2020/11/05,71.44,1.62,16.65,19.64,22.63
2020/11/06,70.19,1.82,14.87,17.83,20.78
2020/11/07,72.0,1.59,16.03,18.85,21.66
2020/11/08,79.19,1.69,19.38,21.31,23.25
2020/11/09,80.56,1.55,19.94,21.8,23.65
2020/11/10,79.88,1.89,19.59,21.5,23.4
2020/11/11,81.31,1.91,19.96,21.7,23.44
2020/11/12,81.25,1.58,20.7,22.48,24.26
2020/11/13,81.75,1.55,21.05,22.8,24.55
2020/11/14,83.5,1.55,20.87,22.44,24.02
2020/11/15,84.31,1.52,20.52,22.01,23.5
2020/11/16,82.94,1.27,20.58,22.19,23.8
2020/11/17,85.69,2.07,20.53,21.85,23.17
2020/11/18,79.0,1.75,18.77,20.8,22.82
2020/11/19,83.69,1.96,18.51,20.01,21.49
2020/11/20,88.06,2.23,19.69,20.78,21.87
2020/11/21,87.06,1.5,20.14,21.32,22.49
2020/11/22,78.44,2.47,16.33,18.42,20.51
2020/11/23,76.19,2.12,13.53,15.79,18.05
2020/11/24,80.56,1.57,15.52,17.33,19.14
2020/11/25,82.81,1.49,16.8,18.43,20.05
2020/11/26,88.06,1.72,18.0,19.07,20.14
2020/11/27,83.75,1.74,17.67,19.18,20.69
2020/11/28,84.0,1.78,18.37,19.86,21.35
2020/11/29,86.62,1.94,18.26,19.52,20.79
2020/11/30,84.94,1.88,18.24,19.62,21.0
2020/12/01,83.5,1.62,18.35,19.85,21.36
2020/12/02,78.5,1.14,17.05,19.13,21.21
2020/12/03,78.12,1.19,16.76,18.84,20.91
2020/12/04,79.5,1.21,16.65,18.56,20.47
2020/12/05,80.44,1.32,16.47,18.27,20.08
2020/12/06,81.06,1.29,16.69,18.43,20.16
2020/12/07,89.06,1.81,17.16,18.07,18.97
2020/12/08,84.56,1.35,16.23,17.59,18.95
2020/12/09,82.19,0.68,16.26,17.9,19.53
2020/12/10,83.88,0.82,16.39,17.85,19.3
2020/12/11,84.56,1.11,15.8,17.2,18.6
2020/12/12,86.06,1.24,15.42,16.66,17.9
2020/12/13,82.69,1.16,15.78,17.4,19.01
2020/12/14,84.88,1.68,15.81,17.14,18.46
2020/12/15,87.06,2.05,14.9,16.05,17.19
2020/12/16,83.12,1.95,14.83,16.39,17.94
2020/12/17,85.31,1.87,15.22,16.55,17.89
2020/12/18,79.12,1.88,12.51,14.48,16.44
2020/12/19,78.06,2.38,9.75,11.76,13.77
2020/12/20,79.5,1.84,10.73,12.63,14.53
2020/12/21,81.06,1.29,12.99,14.73,16.48
2020/12/22,78.38,0.96,13.3,15.33,17.37
2020/12/23,80.06,1.35,13.62,15.44,17.26
2020/12/24,81.81,1.41,14.28,15.93,17.58
2020/12/25,84.75,1.91,14.44,15.84,17.24
2020/12/26,80.69,2.23,12.44,14.26,16.09
2020/12/27,78.25,1.79,11.94,14.01,16.08
2020/12/28,78.25,1.52,12.55,14.56,16.56
2020/12/29,81.12,2.14,12.47,14.21,15.95
2020/12/30,76.25,1.88,11.98,14.23,16.48
2020/12/31,79.69,1.55,13.36,15.3,17.23
2021/01/01,78.75,1.29,13.51,15.55,17.6
2021/01/02,78.62,1.37,13.67,15.69,17.71
2021/01/03,78.12,1.42,13.88,15.95,18.02
2021/01/04,75.81,1.17,14.1,16.45,18.81
2021/01/05,78.06,1.17,14.87,16.96,19.05
2021/01/06,77.06,1.16,15.82,18.05,20.29
2021/01/07,76.25,1.76,16.19,18.55,20.9
2021/01/08,80.31,2.12,15.87,17.71,19.55
2021/01/09,77.69,1.55,15.12,17.23,19.33
2021/01/10,79.31,1.47,16.0,17.93,19.86
2021/01/11,80.94,1.52,16.99,18.79,20.58
2021/01/12,81.88,2.22,15.41,17.13,18.86
2021/01/13,74.44,2.52,11.1,13.6,16.11
2021/01/14,70.81,2.29,9.4,12.23,15.05
2021/01/15,74.12,2.01,10.33,12.78,15.23
2021/01/16,78.44,1.98,11.73,13.77,15.8
2021/01/17,78.44,2.09,11.92,13.95,15.99
2021/01/18,78.75,1.63,13.15,15.16,17.19
2021/01/19,80.31,1.82,13.55,15.37,17.2
2021/01/20,83.0,1.8,14.63,16.17,17.71
2021/01/21,71.5,1.84,11.83,14.83,17.81
2021/01/22,74.88,2.27,11.11,13.55,15.98
2021/01/23,73.69,1.73,11.44,13.98,16.54
2021/01/24,73.56,1.4,12.17,14.73,17.3
2021/01/25,75.06,2.24,11.63,14.05,16.47
2021/01/26,70.62,2.66,10.54,13.48,16.42
2021/01/27,68.81,2.85,9.19,12.4,15.59
2021/01/28,68.62,2.22,9.65,12.92,16.19
