-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  23.7263   Longitude 90.3976 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,RH2M,WS10M,T2MDEW,T2MWET,T2M
2019,10,25,90.75,3.26,22.73,23.55,24.37
2019,10,26,94.44,2.93,24.92,25.4,25.88
2019,10,27,89.56,2.23,23.84,24.8,25.76
2019,10,28,87.75,3.12,21.63,22.75,23.87
2019,10,29,85.88,2.24,21.27,22.58,23.89
2019,10,30,83.19,1.62,21.65,23.26,24.86
2019,10,31,82.81,2.01,21.75,23.4,25.06
2019,11,1,85.25,2.13,22.42,23.79,25.15
2019,11,2,83.62,1.89,22.18,23.75,25.33
2019,11,3,79.56,1.27,21.66,23.65,25.63
2019,11,4,83.12,1.75,22.45,24.03,25.61
2019,11,5,80.81,1.7,21.83,23.69,25.54
2019,11,6,82.56,2.09,21.32,22.96,24.6
2019,11,7,75.0,2.11,19.5,22.03,24.56
2019,11,8,90.69,2.05,22.24,23.05,23.86
2019,11,9,94.88,5.98,22.71,23.14,23.57
2019,11,10,95.0,5.27,23.15,23.58,23.99
2019,11,11,90.31,3.37,22.44,23.3,24.16
2019,11,12,85.62,2.31,20.93,22.26,23.58
2019,11,13,85.56,2.34,20.51,21.84,23.17
2019,11,14,81.38,1.66,20.37,22.17,23.98
2019,11,15,79.62,1.5,20.27,22.2,24.13
2019,11,16,81.56,1.59,20.41,22.17,23.93
2019,11,17,79.38,1.38,19.88,21.84,23.8
2019,11,18,78.38,1.29,19.33,21.4,23.48
2019,11,19,74.25,1.04,18.51,20.99,23.47
2019,11,20,82.12,2.06,18.48,20.13,21.79
2019,11,21,76.75,1.38,17.56,19.81,22.06
2019,11,22,76.81,1.12,17.87,20.05,22.22
2019,11,23,76.81,1.09,18.2,20.4,22.61
2019,11,24,78.0,1.15,18.33,20.4,22.46
2019,11,25,80.81,1.47,18.73,20.5,22.27
2019,11,26,79.06,1.14,18.93,20.94,22.94
2019,11,27,80.19,1.46,18.65,20.54,22.41
2019,11,28,79.5,1.24,19.18,21.15,23.12
2019,11,29,80.62,1.12,19.49,21.33,23.16
2019,11,30,82.88,1.64,19.37,20.97,22.56
2019,12,1,85.88,2.53,18.34,19.62,20.89
2019,12,2,83.44,2.5,16.67,18.19,19.71
2019,12,3,78.81,1.94,15.33,17.31,19.29
2019,12,4,84.56,2.66,16.6,17.97,19.33
2019,12,5,74.88,1.39,16.1,18.65,21.19
2019,12,6,79.06,2.06,17.26,19.28,21.3
2019,12,7,78.75,2.12,16.73,18.76,20.78
2019,12,8,71.81,1.26,16.16,18.9,21.64
2019,12,9,78.25,1.33,17.09,19.1,21.12
2019,12,10,81.88,1.83,16.66,18.35,20.04
2019,12,11,77.94,1.8,15.69,17.79,19.9
2019,12,12,78.19,2.11,15.6,17.62,19.65
2019,12,13,76.62,1.54,14.85,17.08,19.3
2019,12,14,75.62,1.7,15.05,17.4,19.76
2019,12,15,81.06,2.04,16.4,18.12,19.83
2019,12,16,86.06,2.39,16.75,17.96,19.18
2019,12,17,86.19,2.55,16.03,17.26,18.48
2019,12,18,87.38,3.55,14.58,15.62,16.68
2019,12,19,90.0,3.06,13.14,13.89,14.64
2019,12,20,82.94,2.16,12.12,13.55,14.98
2019,12,21,87.56,2.16,12.62,13.65,14.69
2019,12,22,86.69,2.6,12.55,13.58,14.62
2019,12,23,86.5,3.05,13.35,14.49,15.64
2019,12,24,84.5,2.99,12.96,14.26,15.56
2019,12,25,83.25,2.49,12.09,13.61,15.12
2019,12,26,82.44,2.52,13.19,14.84,16.5
2019,12,27,89.56,2.8,12.58,13.44,14.3
2019,12,28,86.25,3.35,11.62,12.86,14.09
2019,12,29,84.38,2.79,12.65,14.01,15.39
2019,12,30,81.75,1.89,13.47,15.07,16.66
2019,12,31,78.12,1.56,14.19,16.26,18.33
2020,1,1,71.25,1.16,14.73,17.57,20.4
2020,1,2,78.19,1.71,16.14,18.19,20.23
2020,1,3,92.19,2.03,16.54,17.19,17.83
2020,1,4,85.56,1.78,15.65,16.96,18.26
2020,1,5,87.0,2.34,15.4,16.54,17.68
2020,1,6,83.81,3.12,12.1,13.54,14.98
2020,1,7,81.75,2.59,11.27,12.94,14.6
2020,1,8,81.31,2.47,12.09,13.8,15.49
2020,1,9,84.38,2.02,13.34,14.73,16.12
2020,1,10,86.06,2.84,14.36,15.61,16.86
2020,1,11,88.44,3.45,12.94,13.91,14.88
2020,1,12,86.56,3.45,12.7,13.86,15.01
2020,1,13,82.62,2.48,12.05,13.58,15.11
2020,1,14,81.06,1.8,12.67,14.36,16.04
2020,1,15,83.56,2.08,14.26,15.72,17.18
2020,1,16,78.81,2.01,14.6,16.58,18.57
2020,1,17,77.25,1.8,15.4,17.6,19.8
2020,1,18,71.5,1.3,14.86,17.74,20.62
2020,1,19,79.19,1.95,15.82,17.78,19.75
2020,1,20,84.94,2.95,14.08,15.4,16.72
2020,1,21,75.56,2.72,10.64,12.92,15.2
2020,1,22,74.75,2.73,10.33,12.73,15.14
2020,1,23,75.88,2.12,12.13,14.35,16.57
2020,1,24,74.88,2.34,10.96,13.42,15.87
2020,1,25,70.0,2.27,9.63,12.51,15.39
2020,1,26,72.12,2.31,9.98,12.62,15.27
2020,1,27,71.06,1.7,10.48,13.2,15.92
2020,1,28,70.69,1.55,11.62,14.48,17.35
2020,1,29,76.31,1.67,13.01,15.19,17.37
2020,1,30,80.12,1.68,14.56,16.39,18.22
2020,1,31,82.12,2.29,14.83,16.44,18.07
2020,2,1,74.19,2.39,12.06,14.54,17.01
2020,2,2,67.25,2.26,10.61,13.8,16.99
2020,2,3,69.06,2.73,8.87,11.94,15.01
2020,2,4,68.56,2.9,9.17,12.23,15.3
2020,2,5,68.5,2.45,10.58,13.62,16.65
2020,2,6,66.5,2.51,11.1,14.37,17.65
2020,2,7,67.06,2.39,10.91,14.17,17.43
2020,2,8,68.25,2.77,11.41,14.58,17.74
2020,2,9,73.12,3.08,12.61,15.21,17.81
2020,2,10,65.75,3.02,9.23,12.79,16.34
2020,2,11,66.0,2.75,10.19,13.52,16.86
2020,2,12,64.38,3.18,9.65,13.29,16.92
2020,2,13,57.0,1.92,8.96,13.49,18.01
2020,2,14,67.62,2.42,12.15,15.37,18.58
2020,2,15,77.94,2.7,15.98,17.98,20.0
2020,2,16,68.94,1.26,14.53,17.72,20.9
2020,2,17,63.62,1.39,13.5,17.26,21.02
2020,2,18,60.56,1.81,12.9,17.02,21.15
2020,2,19,58.56,1.25,12.76,17.18,21.59
2020,2,20,56.5,1.23,12.3,17.04,21.78
2020,2,21,61.19,2.07,13.14,17.38,21.62
2020,2,22,59.44,1.59,13.51,17.88,22.26
2020,2,23,64.19,1.52,15.79,19.52,23.26
2020,2,24,67.25,1.54,16.27,19.68,23.08
2020,2,25,73.44,1.88,16.15,18.7,21.26
2020,2,26,75.94,2.02,16.4,18.76,21.12
2020,2,27,73.12,1.83,15.57,18.32,21.07
2020,2,28,63.75,2.04,13.34,17.3,21.24
2020,2,29,59.88,1.65,13.3,17.75,22.19
2020,3,1,58.88,1.42,14.3,18.78,23.26
2020,3,2,55.25,1.09,13.99,19.12,24.24
2020,3,3,64.31,1.18,16.31,20.01,23.72
2020,3,4,72.94,1.58,17.9,20.59,23.29
2020,3,5,73.88,1.95,18.32,20.9,23.49
2020,3,6,74.75,2.14,18.15,20.72,23.29
2020,3,7,78.19,1.99,18.76,20.89,23.03
2020,3,8,75.31,1.99,19.24,21.67,24.1
2020,3,9,63.12,1.95,15.37,19.33,23.3
2020,3,10,55.69,2.29,13.13,18.0,22.87
2020,3,11,58.5,1.95,14.9,19.33,23.77
2020,3,12,61.88,1.73,17.44,21.6,25.76
2020,3,13,62.75,2.32,17.69,21.83,25.98
2020,3,14,64.25,3.47,17.38,21.32,25.26
2020,3,15,65.12,3.97,15.88,19.9,23.93
2020,3,16,63.81,3.04,16.78,20.77,24.76
2020,3,17,60.25,2.45,15.82,20.21,24.6
2020,3,18,56.56,2.12,15.4,20.26,25.12
2020,3,19,50.88,1.79,14.03,19.85,25.66
2020,3,20,51.19,1.61,14.12,19.83,25.55
2020,3,21,48.62,1.52,13.9,20.17,26.44
2020,3,22,61.25,1.47,17.01,21.24,25.48
2020,3,23,58.94,1.91,15.83,20.46,25.1
2020,3,24,54.56,1.01,15.76,20.97,26.19
2020,3,25,60.12,1.49,17.15,21.89,26.62
2020,3,26,50.25,1.39,16.28,22.18,28.08
2020,3,27,53.25,2.23,17.05,22.86,28.67
2020,3,28,53.12,2.77,17.91,23.56,29.2
2020,3,29,52.12,2.7,16.97,23.13,29.3
2020,3,30,40.81,2.37,13.1,21.01,28.9
2020,3,31,40.81,1.94,12.84,20.65,28.47
2020,4,1,40.69,2.29,13.23,21.05,28.87
2020,4,2,65.88,3.83,21.03,25.14,29.24
2020,4,3,68.88,3.18,21.73,25.36,28.98
2020,4,4,69.12,2.3,21.07,24.75,28.42
2020,4,5,69.38,2.66,20.96,24.49,28.01
2020,4,6,65.31,2.95,18.98,23.4,27.82
2020,4,7,65.88,4.25,19.73,24.09,28.46
2020,4,8,67.62,4.38,21.5,25.32,29.14
2020,4,9,69.81,3.09,21.29,24.65,28.01
2020,4,10,61.81,2.66,19.56,24.28,29.0
2020,4,11,61.75,2.95,20.26,24.79,29.32
2020,4,12,55.56,1.2,18.05,23.51,28.96
2020,4,13,58.44,2.13,19.44,24.21,28.98
2020,4,14,61.56,2.55,20.29,24.99,29.69
2020,4,15,69.0,2.62,22.49,25.98,29.45
2020,4,16,68.12,2.29,21.67,25.19,28.71
2020,4,17,70.12,4.78,22.58,25.94,29.3
2020,4,18,76.81,4.73,23.57,26.01,28.47
2020,4,19,77.31,3.68,23.72,26.12,28.54
2020,4,20,80.5,3.41,23.67,25.66,27.65
2020,4,21,74.06,1.94,22.24,25.01,27.79
2020,4,22,74.56,2.16,21.3,23.93,26.55
2020,4,23,76.94,2.33,22.33,24.69,27.05
2020,4,24,82.56,2.27,22.55,24.25,25.94
2020,4,25,83.69,1.85,23.39,25.0,26.61
2020,4,26,87.0,2.12,23.78,25.02,26.26
2020,4,27,82.75,2.05,22.69,24.36,26.04
2020,4,28,84.25,1.85,22.93,24.43,25.92
2020,4,29,84.5,2.3,23.01,24.51,26.01
2020,4,30,82.56,1.9,23.48,25.22,26.96
2020,5,1,83.25,1.97,23.58,25.2,26.83
2020,5,2,84.56,2.4,23.96,25.44,26.93
2020,5,3,85.31,2.13,23.87,25.3,26.72
2020,5,4,80.44,1.66,23.83,25.8,27.78
2020,5,5,83.62,2.56,25.42,27.04,28.65
2020,5,6,83.31,2.16,24.73,26.34,27.94
2020,5,7,74.25,0.98,23.21,25.8,28.4
2020,5,8,73.81,1.61,22.96,25.58,28.19
2020,5,9,75.94,1.5,23.99,26.42,28.85
2020,5,10,71.19,0.86,24.19,27.15,30.12
2020,5,11,71.56,1.14,24.17,27.1,30.03
2020,5,12,78.12,2.08,24.74,26.93,29.11
2020,5,13,82.62,3.2,25.07,26.78,28.49
2020,5,14,83.06,2.73,25.3,26.98,28.65
2020,5,15,83.75,2.66,25.58,27.19,28.8
2020,5,16,84.88,3.34,26.14,27.62,29.11
2020,5,17,82.56,2.47,25.94,27.69,29.44
2020,5,18,82.69,2.29,25.97,27.69,29.4
2020,5,19,77.38,2.09,24.18,26.56,28.94
2020,5,20,85.44,9.27,25.04,26.41,27.79
2020,5,21,86.31,10.12,25.28,26.55,27.83
2020,5,22,85.25,3.88,25.73,27.15,28.57
2020,5,23,85.5,4.05,26.26,27.69,29.13
2020,5,24,87.12,5.63,26.65,27.89,29.13
2020,5,25,86.31,7.28,26.3,27.62,28.94
2020,5,26,85.94,7.54,25.81,27.15,28.5
2020,5,27,89.69,6.05,26.3,27.25,28.19
2020,5,28,86.62,2.8,25.37,26.65,27.91
2020,5,29,86.12,2.45,25.34,26.67,27.99
2020,5,30,87.19,3.15,25.8,27.02,28.24
2020,5,31,85.56,2.02,25.81,27.2,28.59
2020,6,1,89.12,3.72,26.09,27.1,28.1
2020,6,2,90.81,3.88,26.32,27.15,27.98
2020,6,3,88.25,4.58,25.91,27.01,28.12
2020,6,4,89.0,3.59,26.35,27.39,28.42
2020,6,5,91.38,3.4,26.33,27.11,27.88
2020,6,6,93.12,3.65,26.97,27.58,28.19
2020,6,7,88.12,2.36,26.56,27.68,28.8
2020,6,8,87.12,2.59,26.36,27.58,28.81
2020,6,9,83.88,1.64,26.42,28.01,29.59
2020,6,10,89.75,2.3,26.67,27.61,28.55
2020,6,11,93.19,3.78,26.96,27.55,28.15
2020,6,12,91.69,4.62,26.81,27.56,28.32
2020,6,13,94.56,4.3,27.46,27.94,28.4
2020,6,14,92.25,3.73,27.22,27.91,28.6
2020,6,15,92.5,3.48,27.43,28.11,28.78
2020,6,16,89.56,3.97,26.69,27.65,28.62
2020,6,17,94.81,5.45,26.94,27.39,27.83
2020,6,18,93.38,6.22,26.72,27.3,27.87
2020,6,19,90.31,4.25,26.94,27.83,28.72
2020,6,20,91.12,4.04,26.97,27.77,28.58
2020,6,21,90.94,5.3,26.57,27.39,28.21
2020,6,22,90.25,4.88,26.53,27.42,28.32
2020,6,23,89.56,4.32,26.95,27.92,28.89
2020,6,24,89.06,3.63,27.07,28.1,29.12
2020,6,25,90.19,4.6,27.2,28.11,29.01
2020,6,26,92.31,4.84,27.19,27.88,28.57
2020,6,27,90.5,4.84,26.73,27.61,28.48
2020,6,28,90.94,4.47,25.87,26.68,27.49
2020,6,29,87.19,3.04,26.09,27.31,28.52
2020,6,30,88.62,4.12,26.73,27.79,28.86
2020,7,1,89.44,3.84,26.52,27.5,28.47
2020,7,2,91.06,3.45,27.12,27.94,28.75
2020,7,3,88.38,2.59,27.05,28.15,29.25
2020,7,4,90.94,4.18,26.94,27.77,28.6
2020,7,5,92.0,4.84,27.0,27.71,28.42
2020,7,6,90.94,4.69,27.2,28.02,28.85
2020,7,7,90.56,5.02,27.19,28.05,28.92
2020,7,8,89.62,3.9,27.16,28.13,29.1
2020,7,9,91.56,5.45,27.34,28.1,28.87
2020,7,10,91.12,5.96,27.4,28.21,29.01
2020,7,11,93.69,5.21,27.23,27.77,28.33
2020,7,12,90.88,4.41,26.9,27.73,28.56
2020,7,13,90.0,3.88,26.98,27.9,28.83
2020,7,14,90.75,4.7,26.37,27.21,28.05
2020,7,15,89.06,4.19,26.69,27.72,28.75
2020,7,16,87.94,3.62,26.53,27.67,28.8
2020,7,17,88.44,3.66,26.78,27.87,28.96
2020,7,18,93.0,3.86,27.01,27.64,28.26
2020,7,19,90.06,5.02,26.87,27.79,28.71
2020,7,20,93.88,5.08,27.01,27.55,28.08
2020,7,21,93.62,4.93,26.99,27.55,28.12
2020,7,22,92.75,3.67,26.29,26.93,27.57
2020,7,23,90.88,3.97,26.16,26.99,27.82
2020,7,24,91.62,3.73,26.59,27.35,28.11
2020,7,25,88.25,2.72,26.23,27.33,28.43
2020,7,26,87.0,2.48,26.76,27.99,29.23
2020,7,27,90.62,2.59,27.12,27.98,28.82
2020,7,28,89.5,3.52,26.81,27.79,28.76
2020,7,29,89.81,4.03,26.56,27.5,28.44
2020,7,30,88.44,2.69,26.65,27.73,28.81
2020,7,31,87.19,2.63,26.72,27.94,29.15
2020,8,1,86.25,1.81,27.05,28.37,29.7
2020,8,2,86.75,2.43,27.19,28.44,29.69
2020,8,3,82.81,1.37,27.14,28.83,30.51
2020,8,4,92.0,4.14,27.18,27.9,28.61
2020,8,5,89.88,6.24,26.87,27.8,28.73
2020,8,6,92.5,5.12,26.66,27.33,27.99
2020,8,7,90.06,4.31,27.05,27.98,28.9
2020,8,8,89.38,3.8,26.86,27.84,28.83
2020,8,9,90.75,3.84,26.84,27.69,28.55
2020,8,10,90.81,3.65,27.03,27.88,28.73
2020,8,11,89.94,4.14,27.26,28.19,29.13
2020,8,12,89.69,3.87,27.24,28.21,29.17
2020,8,13,88.62,3.67,26.98,28.05,29.11
2020,8,14,89.5,3.73,26.69,27.67,28.65
2020,8,15,90.5,6.7,26.31,27.18,28.05
2020,8,16,90.88,6.68,26.45,27.28,28.1
2020,8,17,91.19,5.74,26.43,27.23,28.01
2020,8,18,91.56,4.74,26.6,27.37,28.12
2020,8,19,93.44,5.62,26.17,26.74,27.32
2020,8,20,94.12,5.93,25.75,26.26,26.76
2020,8,21,93.0,4.83,25.8,26.42,27.03
2020,8,22,90.94,3.1,25.83,26.65,27.47
2020,8,23,90.0,2.94,26.03,26.95,27.87
2020,8,24,88.5,2.88,26.29,27.37,28.44
2020,8,25,92.69,4.12,26.34,27.0,27.65
2020,8,26,91.44,7.27,25.89,26.65,27.43
2020,8,27,93.19,4.5,26.21,26.8,27.4
2020,8,28,89.56,3.7,26.2,27.18,28.15
2020,8,29,88.88,3.3,26.43,27.47,28.51
2020,8,30,88.44,2.98,26.71,27.8,28.88
2020,8,31,88.62,2.04,27.0,28.05,29.11
2020,9,1,89.38,2.6,26.3,27.28,28.27
2020,9,2,88.62,2.81,25.87,26.93,27.99
2020,9,3,85.06,1.98,25.82,27.27,28.73
2020,9,4,84.12,1.78,26.22,27.77,29.33
2020,9,5,86.12,2.78,26.57,27.9,29.22
2020,9,6,89.44,3.57,26.55,27.53,28.51
2020,9,7,89.12,3.33,26.24,27.26,28.27
2020,9,8,87.94,2.53,26.26,27.39,28.52
2020,9,9,85.62,2.38,26.21,27.6,28.99
2020,9,10,88.06,2.9,26.4,27.53,28.65
2020,9,11,89.31,2.88,26.36,27.34,28.33
2020,9,12,88.94,2.87,26.63,27.67,28.71
2020,9,13,90.88,3.04,26.6,27.44,28.28
2020,9,14,91.44,2.77,26.48,27.26,28.03
2020,9,15,89.75,2.88,26.57,27.51,28.47
2020,9,16,91.81,3.34,26.55,27.29,28.02
2020,9,17,89.62,2.77,26.58,27.54,28.49
2020,9,18,82.06,1.05,26.17,27.94,29.72
2020,9,19,87.38,2.4,27.12,28.3,29.48
2020,9,20,84.62,2.04,27.13,28.63,30.12
2020,9,21,90.75,6.92,26.81,27.64,28.47
2020,9,22,94.31,4.71,27.17,27.66,28.15
2020,9,23,94.19,4.41,26.94,27.44,27.94
2020,9,24,94.38,4.54,26.78,27.27,27.76
2020,9,25,94.75,4.48,26.74,27.19,27.65
2020,9,26,93.81,4.81,26.69,27.23,27.77
2020,9,27,91.38,3.27,26.21,26.99,27.78
2020,9,28,87.94,1.72,26.01,27.14,28.28
2020,9,29,87.25,1.55,26.05,27.26,28.45
2020,9,30,85.12,0.93,25.72,27.12,28.51
2020,10,1,89.94,2.67,26.07,26.98,27.88
2020,10,2,90.62,2.26,26.23,27.09,27.95
2020,10,3,90.38,2.12,26.26,27.13,28.01
2020,10,4,89.5,2.05,26.0,26.96,27.92
2020,10,5,90.81,2.29,25.91,26.76,27.59
2020,10,6,88.88,2.17,25.0,26.02,27.04
2020,10,7,89.19,2.06,25.3,26.29,27.28
2020,10,8,80.56,1.2,24.87,26.77,28.69
2020,10,9,82.44,1.38,25.93,27.62,29.3
2020,10,10,83.19,1.09,26.22,27.85,29.48
2020,10,11,80.25,1.01,25.95,27.9,29.85
2020,10,12,80.88,0.95,25.76,27.64,29.51
2020,10,13,79.31,0.91,25.67,27.72,29.77
2020,10,14,85.62,1.47,26.05,27.44,28.83
2020,10,15,82.31,1.19,25.76,27.49,29.23
2020,10,16,81.81,1.37,25.58,27.36,29.15
2020,10,17,81.88,1.26,25.64,27.4,29.18
2020,10,18,87.94,1.66,25.76,26.87,27.99
2020,10,19,83.06,1.38,24.84,26.46,28.08
2020,10,20,87.69,2.25,25.4,26.56,27.71
2020,10,21,93.25,2.93,25.24,25.82,26.4
2020,10,22,95.31,3.55,24.87,25.26,25.65
2020,10,23,95.25,4.39,25.61,26.01,26.41
2020,10,24,91.25,3.42,25.08,25.87,26.65
2020,10,25,85.0,1.34,24.01,25.44,26.85
2020,10,26,84.44,1.55,23.96,25.44,26.91
2020,10,27,86.75,2.25,23.92,25.14,26.37
2020,10,28,85.62,2.29,23.29,24.63,25.98
2020,10,29,85.12,1.79,24.22,25.64,27.06
2020,10,30,86.94,2.1,25.43,26.65,27.87
2020,10,31,94.06,2.78,25.19,25.69,26.2
2020,11,1,89.31,2.15,23.84,24.81,25.78
2020,11,2,90.31,1.82,24.59,25.48,26.35
2020,11,3,88.5,1.45,24.77,25.84,26.9
2020,11,4,79.38,1.77,21.4,23.44,25.47
2020,11,5,71.38,2.02,17.58,20.51,23.45
2020,11,6,73.69,2.47,16.25,18.75,21.25
2020,11,7,76.44,2.15,17.13,19.49,21.85
2020,11,8,77.94,1.78,18.95,21.07,23.18
2020,11,9,81.69,1.77,20.89,22.66,24.44
2020,11,10,84.75,2.27,21.16,22.58,24.01
2020,11,11,84.5,2.51,21.0,22.45,23.9
2020,11,12,80.19,1.54,20.9,22.83,24.76
2020,11,13,85.12,2.09,22.13,23.54,24.94
2020,11,14,86.12,2.26,21.62,22.94,24.25
2020,11,15,85.25,2.15,20.56,21.94,23.31
2020,11,16,83.94,1.56,20.52,22.06,23.6
2020,11,17,83.0,2.02,20.38,21.98,23.58
2020,11,18,75.44,1.42,18.83,21.27,23.73
2020,11,19,77.25,1.57,18.52,20.67,22.82
2020,11,20,82.12,1.7,19.83,21.52,23.21
2020,11,21,84.19,1.33,20.51,21.96,23.41
2020,11,22,79.81,2.97,17.31,19.24,21.17
2020,11,23,78.0,3.05,14.15,16.2,18.24
2020,11,24,78.62,1.73,15.23,17.26,19.3
2020,11,25,84.19,1.88,17.45,18.87,20.3
2020,11,26,87.0,1.96,18.44,19.62,20.79
2020,11,27,85.12,2.31,18.43,19.76,21.11
2020,11,28,88.62,2.52,18.95,19.92,20.89
2020,11,29,88.19,2.73,18.58,19.66,20.73
2020,11,30,84.62,2.17,17.49,18.92,20.35
2020,12,1,83.88,1.89,17.94,19.43,20.93
2020,12,2,81.75,1.51,17.57,19.3,21.02
2020,12,3,78.38,1.3,17.26,19.3,21.33
2020,12,4,78.25,1.54,16.51,18.57,20.62
2020,12,5,76.38,1.27,16.16,18.37,20.59
2020,12,6,78.19,1.23,16.7,18.74,20.79
2020,12,7,84.69,1.38,17.31,18.71,20.1
2020,12,8,87.81,1.89,17.55,18.57,19.58
2020,12,9,84.38,1.06,16.75,18.15,19.55
2020,12,10,84.12,1.16,16.62,18.05,19.47
2020,12,11,86.31,1.71,16.43,17.62,18.82
2020,12,12,85.56,1.66,15.95,17.24,18.52
2020,12,13,84.31,1.62,16.4,17.82,19.24
2020,12,14,85.19,2.16,16.54,17.85,19.16
2020,12,15,87.19,2.63,16.01,17.16,18.31
2020,12,16,84.94,2.66,15.92,17.29,18.65
2020,12,17,85.81,2.49,15.92,17.19,18.47
2020,12,18,83.0,2.72,13.87,15.4,16.93
2020,12,19,80.69,3.42,10.87,12.62,14.39
2020,12,20,83.06,2.73,11.13,12.65,14.15
2020,12,21,81.0,1.63,12.94,14.59,16.25
2020,12,22,77.94,0.81,13.58,15.66,17.74
2020,12,23,79.5,1.49,13.75,15.63,17.51
2020,12,24,79.62,1.34,14.26,16.16,18.05
2020,12,25,86.0,2.25,15.19,16.4,17.59
2020,12,26,82.88,2.97,13.42,14.97,16.51
2020,12,27,80.0,2.53,12.12,13.98,15.84
2020,12,28,79.69,2.13,12.59,14.46,16.33
2020,12,29,81.94,2.48,12.99,14.63,16.27
2020,12,30,81.19,2.66,12.78,14.52,16.26
2020,12,31,84.12,2.43,14.17,15.53,16.89
2021,1,1,82.81,2.27,14.03,15.56,17.09
2021,1,2,83.25,2.17,14.18,15.65,17.12
